Data,Bairros,Habitantes,Casos Suspeitos,Casos Negativos,Casos Confirmados
22/03/2024,Tomba,55007,100,20,500
22/03/2024,Campo Limpo,47060,30,40,120
22/03/2024,Muchila,22496,30,10,66
22/03/2024,Conceição,21694,30,20,55
22/03/2024,Brasília,21168,400,200,89
22/03/2024,Mangabeira,20819,55,100,26
22/03/2024,Calumbi,19858,66,3,42
22/03/2024,Queimadinha,19203,99,5,98
22/03/2024,Gabriela,17618,20,8,2
22/03/2024,Parque Ipê,16469,50,10,4
22/03/2024,Jardim Cruzeiro,14694,57,5,5
22/03/2024,Rua Nova,13078,9,8,9
22/03/2024,Lagoa Grande,12229,8,9,87
22/03/2024,Aviário,11912,55,7,46
22/03/2024,Santa Mônica,11617,20,4,26
22/03/2024,Centro,11382,15,6,98
22/03/2024,Pedra de Descanso,11156,5,2,42
22/03/2024,Caseb,10982,9,99,2
22/03/2024,São João,10239,7,88,15
22/03/2024,Cidade Nova,9974,10,200,9
22/03/2024,Jardim Acácia,9009,2,30,8
22/03/2024,Serraria Brasil,8368,5,10,44
22/03/2024,Baraúna,8093,99,9,21
22/03/2024,Cis,7887,55,5,25
22/03/2024,Ponto Central,7221,20,10,85
23/03/2024,Tomba,55007,90,25,505
23/03/2024,Campo Limpo,47060,50,40,130
23/03/2024,Muchila,22496,43,12,70
23/03/2024,Conceição,21694,20,30,55
23/03/2024,Brasília,21168,350,210,1096
23/03/2024,Mangabeira,20819,50,100,36
23/03/2024,Calumbi,19858,70,5,44
23/03/2024,Queimadinha,19203,111,21,108
23/03/2024,Gabriela,17618,39,24,14
23/03/2024,Parque Ipê,16469,52,23,20
23/03/2024,Jardim Cruzeiro,14694,64,6,13
23/03/2024,Rua Nova,13078,10,10,10
23/03/2024,Lagoa Grande,12229,27,21,89
23/03/2024,Aviário,11912,60,25,62
23/03/2024,Santa Mônica,11617,29,5,41
23/03/2024,Centro,11382,34,14,112
23/03/2024,Pedra de Descanso,11156,14,21,45
23/03/2024,Caseb,10982,29,116,22
23/03/2024,São João,10239,11,95,21
23/03/2024,Cidade Nova,9974,14,218,19
23/03/2024,Jardim Acácia,9009,14,41,21
23/03/2024,Serraria Brasil,8368,16,25,55
23/03/2024,Baraúna,8093,112,18,37
23/03/2024,Cis,7887,55,13,42
23/03/2024,Ponto Central,7221,20,10,105
24/03/2024,Tomba,55007,94,26,555
24/03/2024,Campo Limpo,47060,53,41,143
24/03/2024,Muchila,22496,45,12,77
24/03/2024,Conceição,21694,21,31,60
24/03/2024,Brasília,21168,368,217,1205
24/03/2024,Mangabeira,20819,52,103,40
24/03/2024,Calumbi,19858,73,5,48
24/03/2024,Queimadinha,19203,116,22,119
24/03/2024,Gabriela,17618,41,25,15
24/03/2024,Parque Ipê,16469,55,24,22
24/03/2024,Jardim Cruzeiro,14694,67,6,14
24/03/2024,Rua Nova,13078,10,10,11
24/03/2024,Lagoa Grande,12229,28,22,98
24/03/2024,Aviário,11912,63,26,68
24/03/2024,Santa Mônica,11617,30,5,45
24/03/2024,Centro,11382,35,14,123
24/03/2024,Pedra de Descanso,11156,15,22,50
24/03/2024,Caseb,10982,30,119,24
24/03/2024,São João,10239,11,98,23
24/03/2024,Cidade Nova,9974,15,224,21
24/03/2024,Jardim Acácia,9009,14,42,23
24/03/2024,Serraria Brasil,8368,17,26,60
24/03/2024,Baraúna,8093,117,18,41
24/03/2024,Cis,7887,57,13,46
24/03/2024,Ponto Central,7221,21,10,115
25/03/2024,Tomba,55007,99,27,610
25/03/2024,Campo Limpo,47060,55,42,158
25/03/2024,Muchila,22496,47,12,85
25/03/2024,Conceição,21694,22,32,66
25/03/2024,Brasília,21168,386,223,1325
25/03/2024,Mangabeira,20819,54,106,44
25/03/2024,Calumbi,19858,76,5,53
25/03/2024,Queimadinha,19203,121,23,131
25/03/2024,Gabriela,17618,43,26,16
25/03/2024,Parque Ipê,16469,57,25,24
25/03/2024,Jardim Cruzeiro,14694,70,6,15
25/03/2024,Rua Nova,13078,11,10,12
25/03/2024,Lagoa Grande,12229,29,23,108
25/03/2024,Aviário,11912,66,27,75
25/03/2024,Santa Mônica,11617,32,6,50
25/03/2024,Centro,11382,36,15,135
25/03/2024,Pedra de Descanso,11156,16,23,55
25/03/2024,Caseb,10982,31,122,26
25/03/2024,São João,10239,12,101,25
25/03/2024,Cidade Nova,9974,16,231,23
25/03/2024,Jardim Acácia,9009,15,43,25
25/03/2024,Serraria Brasil,8368,18,27,66
25/03/2024,Baraúna,8093,123,19,45
25/03/2024,Cis,7887,59,13,51
25/03/2024,Ponto Central,7221,22,10,126
26/03/2024,Tomba,55007,104,28,671
26/03/2024,Campo Limpo,47060,58,43,173
26/03/2024,Muchila,22496,50,12,93
26/03/2024,Conceição,21694,23,33,73
26/03/2024,Brasília,21168,405,230,1458
26/03/2024,Mangabeira,20819,57,109,48
26/03/2024,Calumbi,19858,80,5,58
26/03/2024,Queimadinha,19203,127,24,144
26/03/2024,Gabriela,17618,45,27,18
26/03/2024,Parque Ipê,16469,60,26,26
26/03/2024,Jardim Cruzeiro,14694,74,6,17
26/03/2024,Rua Nova,13078,11,11,13
26/03/2024,Lagoa Grande,12229,31,24,119
26/03/2024,Aviário,11912,69,28,82
26/03/2024,Santa Mônica,11617,33,6,55
26/03/2024,Centro,11382,38,15,148
26/03/2024,Pedra de Descanso,11156,17,24,61
26/03/2024,Caseb,10982,32,126,29
26/03/2024,São João,10239,12,104,28
26/03/2024,Cidade Nova,9974,17,238,25
26/03/2024,Jardim Acácia,9009,16,44,28
26/03/2024,Serraria Brasil,8368,18,28,73
26/03/2024,Baraúna,8093,129,20,49
26/03/2024,Cis,7887,61,13,56
26/03/2024,Ponto Central,7221,23,10,138
27/03/2024,Tomba,55007,109,29,738
27/03/2024,Campo Limpo,47060,61,44,190
27/03/2024,Muchila,22496,52,12,102
27/03/2024,Conceição,21694,24,34,81
27/03/2024,Brasília,21168,425,237,1603
27/03/2024,Mangabeira,20819,60,112,53
27/03/2024,Calumbi,19858,84,5,64
27/03/2024,Queimadinha,19203,133,25,158
27/03/2024,Gabriela,17618,47,28,20
27/03/2024,Parque Ipê,16469,63,27,29
27/03/2024,Jardim Cruzeiro,14694,77,6,19
27/03/2024,Rua Nova,13078,12,11,14
27/03/2024,Lagoa Grande,12229,32,25,131
27/03/2024,Aviário,11912,72,28,91
27/03/2024,Santa Mônica,11617,35,6,61
27/03/2024,Centro,11382,40,15,163
27/03/2024,Pedra de Descanso,11156,18,25,67
27/03/2024,Caseb,10982,33,130,32
27/03/2024,São João,10239,13,107,31
27/03/2024,Cidade Nova,9974,18,245,28
27/03/2024,Jardim Acácia,9009,17,45,31
27/03/2024,Serraria Brasil,8368,19,29,80
27/03/2024,Baraúna,8093,135,20,54
27/03/2024,Cis,7887,63,13,62
27/03/2024,Ponto Central,7221,24,10,152
28/03/2024,Tomba,55007,114,30,812
28/03/2024,Campo Limpo,47060,64,45,209
28/03/2024,Muchila,22496,54,12,112
28/03/2024,Conceição,21694,25,35,89
28/03/2024,Brasília,21168,446,244,1763
28/03/2024,Mangabeira,20819,63,115,58
28/03/2024,Calumbi,19858,88,5,71
28/03/2024,Queimadinha,19203,140,26,174
28/03/2024,Gabriela,17618,49,29,22
28/03/2024,Parque Ipê,16469,67,28,32
28/03/2024,Jardim Cruzeiro,14694,81,6,21
28/03/2024,Rua Nova,13078,12,11,15
28/03/2024,Lagoa Grande,12229,34,26,144
28/03/2024,Aviário,11912,76,29,100
28/03/2024,Santa Mônica,11617,36,6,67
28/03/2024,Centro,11382,42,15,179
28/03/2024,Pedra de Descanso,11156,19,26,73
28/03/2024,Caseb,10982,34,134,35
28/03/2024,São João,10239,13,110,34
28/03/2024,Cidade Nova,9974,19,253,30
28/03/2024,Jardim Acácia,9009,17,46,34
28/03/2024,Serraria Brasil,8368,20,30,88
28/03/2024,Baraúna,8093,142,21,59
28/03/2024,Cis,7887,66,14,68
28/03/2024,Ponto Central,7221,25,10,167
29/03/2024,Tomba,55007,119,31,893
29/03/2024,Campo Limpo,47060,67,46,230
29/03/2024,Muchila,22496,57,12,123
29/03/2024,Conceição,21694,26,36,98
29/03/2024,Brasília,21168,468,251,1939
29/03/2024,Mangabeira,20819,66,118,64
29/03/2024,Calumbi,19858,93,5,78
29/03/2024,Queimadinha,19203,147,27,191
29/03/2024,Gabriela,17618,51,30,24
29/03/2024,Parque Ipê,16469,70,29,35
29/03/2024,Jardim Cruzeiro,14694,85,6,23
29/03/2024,Rua Nova,13078,13,11,16
29/03/2024,Lagoa Grande,12229,36,27,158
29/03/2024,Aviário,11912,79,30,110
29/03/2024,Santa Mônica,11617,38,6,74
29/03/2024,Centro,11382,44,15,197
29/03/2024,Pedra de Descanso,11156,20,27,80
29/03/2024,Caseb,10982,36,138,39
29/03/2024,São João,10239,14,113,37
29/03/2024,Cidade Nova,9974,20,260,33
29/03/2024,Jardim Acácia,9009,18,47,37
29/03/2024,Serraria Brasil,8368,21,31,96
29/03/2024,Baraúna,8093,149,22,65
29/03/2024,Cis,7887,69,14,75
29/03/2024,Ponto Central,7221,26,10,183
30/03/2024,Tomba,55007,125,32,982
30/03/2024,Campo Limpo,47060,71,47,253
30/03/2024,Muchila,22496,60,12,135
30/03/2024,Conceição,21694,27,37,107
30/03/2024,Brasília,21168,491,259,2133
30/03/2024,Mangabeira,20819,69,121,70
30/03/2024,Calumbi,19858,97,5,86
30/03/2024,Queimadinha,19203,154,28,210
30/03/2024,Gabriela,17618,54,31,26
30/03/2024,Parque Ipê,16469,73,30,38
30/03/2024,Jardim Cruzeiro,14694,89,6,25
30/03/2024,Rua Nova,13078,13,11,17
30/03/2024,Lagoa Grande,12229,38,28,174
30/03/2024,Aviário,11912,83,31,121
30/03/2024,Santa Mônica,11617,40,6,81
30/03/2024,Centro,11382,46,15,217
30/03/2024,Pedra de Descanso,11156,21,28,88
30/03/2024,Caseb,10982,38,142,42
30/03/2024,São João,10239,14,116,41
30/03/2024,Cidade Nova,9974,21,268,36
30/03/2024,Jardim Acácia,9009,19,48,41
30/03/2024,Serraria Brasil,8368,22,32,106
30/03/2024,Baraúna,8093,156,23,71
30/03/2024,Cis,7887,72,14,82
30/03/2024,Ponto Central,7221,27,10,201
31/03/2024,Tomba,55007,130,33,1080
31/03/2024,Campo Limpo,47060,75,48,278
31/03/2024,Muchila,22496,63,12,149
31/03/2024,Conceição,21694,28,38,118
31/03/2024,Brasília,21168,515,267,2346
31/03/2024,Mangabeira,20819,72,124,77
31/03/2024,Calumbi,19858,102,5,95
31/03/2024,Queimadinha,19203,162,29,231
31/03/2024,Gabriela,17618,56,32,29
31/03/2024,Parque Ipê,16469,77,31,42
